file_name,start_time,end_time,turn_name,text,emotion
Ses01M_impro01_,6.77,8.46,F000, Next.,anger
Ses01M_impro01_,8.2208,11.28,M000," Yes, me. Okay, okay here we go.",Frustration
Ses01M_impro01_,8.55,10.6,F001, My window is open.,anger
Ses01M_impro01_,11.32,13.77,M001," Okay, so filled out all these forms  --",Frustration
Ses01M_impro01_,14.46,18.23,F002, This is... Your last- Your first name is Jones?,xxxx
Ses01M_impro01_,13.77,16.88,M002, and I have This form of ID here so...,Frustration
Ses01M_impro01_,17.66,20.14,M003," Yes, Jones.",neutral
Ses01M_impro01_,19.48,23.43,F003, That's just strangere I figured you filled in wrong sections.,xxxx
Ses01M_impro01_,22.89,24.28,M004, Well...,xxxx
Ses01M_impro01_,23.43,26.4675,F004, What are you... what's...What are you applying for?,Frustration
Ses01M_impro01_,25.94,29.07,M005, I'm just applying for another ID.,Frustration
Ses01M_impro01_,28.41,30.96,F005, Another ID?,xxxx
Ses01M_impro01_,29.39,38.15,M006," Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another...",Frustration
Ses01M_impro01_,36.15,38.6,F006, Fine.  So I need ID.,xxxx
Ses01M_impro01_,38.33,40.27,M007," I have it right here, yes.",Frustration
Ses01M_impro01_,39.89,43.31,F007," No, I need your ID to give you a second ID.",anger
Ses01M_impro01_,43.31,47.0461,F008, It's really simple if you have a problem with it... Maybe you should--,anger
Ses01M_impro01_,46.01,47.11,M008, But that's...,Frustration
Ses01M_impro01_,47.11,52.42,M009," That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID.",Frustration
Ses01M_impro01_,52.34,55.12,F009," Well, do you have your passport?",xxxx
Ses01M_impro01_,54.49,56.71,M010," No, I don't have a passport.",neutral
Ses01M_impro01_,56.16,58.18,F010, You have a birth certificate?,Frustration
Ses01M_impro01_,57.79,62.28,M011," I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",Frustration
Ses01M_impro01_,61.05,63.21,F011, What do you expect me to do?,anger
Ses01M_impro01_,62.78,66.03,M012, I probably have to go wait another line to get my birth certificate don't I?,Frustration
Ses01M_impro01_,65.545,67.47,F012, Probably.,anger
Ses01M_impro01_,66.8475,70.04,M013, You're very helpful.  What's your name?,Frustration
Ses01M_impro01_,69.45,70.84,F013, Joy.,xxxx
Ses01M_impro01_,70.515,71.695,M014," Hi, Joy.",xxxx
Ses01M_impro01_,71.365,74.46,F014, Hi.   You know...,xxxx
Ses01M_impro01_,73.1425,75.0125,M015, So can you help me or not?,Frustration
Ses01M_impro01_,74.6775,80.6875,F015, I am..I don't..I don't understand what you want.  A driver's license or a California ID.,Frustration
Ses01M_impro01_,80.19,82.3,M016, Okay. [BREATHING],Frustration
Ses01M_impro01_,83.63,86.36,M017, I need California ID.,Frustration
Ses01M_impro01_,86.34,87.87,F016, Okay.,xxxx
Ses01M_impro01_,86.38,92.05,M018, On top of these other two forms of ID which I already have.,Frustration
Ses01M_impro01_,91.28,94.535,F017," What... well, do you have a driver's license?",xxxx
Ses01M_impro01_,93.88,96.79,M019," No, I don't have driver's license.",Frustration
Ses01M_impro01_,95.24,98.21,F018, Then how am I supposed to give you a California ID?,xxxx
Ses01M_impro01_,96.91,100.53,M020, Did you even look at the form?  I filled it out all these questions--,anger
Ses01M_impro01_,98.46,102.07,F019, Don't raise your voice with me.,anger
Ses01M_impro01_,102.17,107.5,M021, Did you even look at the form?  I've already answered these question.,xxxx
Ses01M_impro01_,105.76,109.09,F020, Don't talk to me like I'm a child.,anger
Ses01M_impro01_,109.14,110.51,M022, Okay.,Frustration
Ses01M_impro01_,109.19,114.1025,F021, Do you know how long I've been working here? How long have you lived in California?,anger
Ses01M_impro01_,110.69,113.22,M023, If it makes you stop acting like a child.,Frustration
Ses01M_impro01_,113.5575,116.18,M024, I have been to California my whole--,xxxx
Ses01M_impro01_,114.13,124.82,F022," Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",anger
Ses01M_impro01_,118.835,122.18,M025, I am not...I'm not getting to back that line.,anger
Ses01M_impro01_,123.99,130.72,M026," Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match.",Frustration
Ses01M_impro01_,129.12,131.0325,F023, I'm perfectly calm.,xxxx
Ses01M_impro01_,130.72,134.185,M027," I did not come in here to get in a yelling match with you, all right?",Frustration
Ses01M_impro01_,132.89,136.6025,F024, Uh huh.  I didn't come here get in yelling match either.,neutral
Ses01M_impro01_,136.11,138.51,M028, Just try and help me.,Frustration
Ses01M_impro01_,137.06,140.49,F025, They don't pay me enough to deal people like you.,neutral
Ses01M_impro01_,139.96,147.95,M029," People like me, what is that supposed to mean?  You know, this is ridiculous.  Is there like a manager here, is there someone else that I can talk to?",xxxx
Ses01M_impro01_,146.6075,148.26,F026, Why?,xxxx
Ses01M_impro01_,148,149.12,M030, Why?,anger
Ses01M_impro01_,148.58,149.67,F027, Yeah.,xxxx
Ses01M_impro01_,156.15,160.51,F028," So you're not going to send me a thank you card, is that a problem? Is your are not going...",xxxx
Ses01M_impro01_,149.18,151.85,M031," Why, because I'm sick of talking to you.",anger
Ses01M_impro01_,151.85,157.36,M032," 'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",anger
Ses01M_impro01_,160.7,164.825,F029," Oh, dear. Oh, boo-foo-woo, foo-foo.",xxxx
Ses01M_impro01_,158.63,163.6625,M033," Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",Frustration
Ses01M_impro01_,164.8725,167.21,F030, Sit back down.,xxxx
Ses01M_impro02_,4.5582,7.86,M000," Hey, Joy come in here.",neutral
Ses01M_impro02_,8.0737,11.47,F000, What's happening?,neutral
Ses01M_impro02_,13.76,17.52,M001, I have to go back.,sad
Ses01M_impro02_,19.33,23.63,M002, I just got a letter I have to go back.,sad
Ses01M_impro02_,24.15,26.98,F001, When?,xxx
Ses01M_impro02_,27.11,29.825,M003, First thing tomorrow morning.,sad
Ses01M_impro02_,29.35,32.46,F002, Are you kidding me?,surprise
Ses01M_impro02_,35.4,38.6,F003, How...,Frustration
Ses01M_impro02_,38.61,41.33,M004," I don't understand, I don't underst--",xxx
Ses01M_impro02_,40.1,42.3725,F004, How can they do that?,Frustration
Ses01M_impro02_,42.4225,44.35,M005, They can do it.,xxx
Ses01M_impro02_,42.495,45.82,F005, They said you're home for at least four years.,Frustration
Ses01M_impro02_,47.19,49.63,M006," I guess they can do it,",Frustration
Ses01M_impro02_,49.66,58.18,M007," The National Guard is I guess really spread thin and then everyone has to go.  We all have to go back, my whole companies going back.",sad
Ses01M_impro02_,53.495,54.995,F006, [BREATHING],Frustration
Ses01M_impro02_,58.98,62.11,F007, That's not fair.,xxx
Ses01M_impro02_,66.16,70.18,M008, I can't believe it. I just got back.,xxx
Ses01M_impro02_,75.73,78.6525,M009," So yeah, we leave tomorrow...",sad
Ses01M_impro02_,78.48,79.745,F008, [BREATHING],Frustration
Ses01M_impro02_,79.18,81.86,M010, ...we're all shipping out.,sad
Ses01M_impro02_,82.09,86.28,M011, I just got I feel like I'm in shock actually.,sad
Ses01M_impro02_,85.84,89.14,F009, I don't even know what to tell you.,sad
Ses01M_impro02_,88.825,90.655,M012, I don't know.,sad
Ses01M_impro02_,90.39,93.65,F010, What about the birthday party?,sad
Ses01M_impro02_,95.45,99.875,M013, I guess you're just going to have to have it without me.,sad
Ses01M_impro02_,106.1,114.44,M014," Hey listen, it's going to be okay though, all right?",sad
Ses01M_impro02_,115.0275,117.31,M015, You're going to be fine.,sad
Ses01M_impro02_,116.89,122.52,F011, Me?  I'm not worried about me.,xxx
Ses01M_impro02_,122.03,126.42,M016," I'm going to be fine too, okay?",sad
Ses01M_impro02_,128.83,131.1175,F012, How do you know?,xxx
Ses01M_impro02_,131.06,137.74,M017, I know I have a good... I have a really good group of guys with me.,sad
Ses01M_impro02_,137.75,140.94,M018, We're going to be okay.,sad
Ses01M_impro02_,144.54,148.6,F013, You're going with the same ones?,sad
Ses01M_impro02_,149.06,152.58,M019, Do promise me you're going to take a lot of pictures.,sad
Ses01M_impro02_,152.31,154.9183,F014," Always, I always do.",xxx
Ses01M_impro02_,154.43,156.51,M020, I know.,sad
Ses01M_impro02_,157.42,160.11,F015, It's not the same though.,sad
Ses01M_impro02_,163.8,167.56,M021, I just wish there was something I could do.,sad
Ses01M_impro02_,167.91,170.77,F016, We could hide away.,xxx
Ses01M_impro02_,170.94,173.01,M022, Run away?,sad
Ses01M_impro02_,172.41,177.35,F017, Mm hmm.  We'll build a bunker and never come out.,sad
Ses01M_impro02_,183.77,189.08,M023," I really don't want to go, I don't want to go...",sad
Ses01M_impro02_,185.54,190.36,F018, [LAUGHTER] Mmm.,xxx
Ses01M_impro02_,198.55,201.28,M024, I'm scared.,xxx
Ses01M_impro02_,201.7575,204.05,F019, Don't say that.,sad
Ses01M_impro02_,209.95,214.81,F020, I'll send you a letter every single day.,xxx
Ses01M_impro02_,214.59,217.04,M025, I love you.,sad
Ses01M_impro02_,216.925,219.13,F021, I love you too.,xxx
Ses01M_impro03_,2.92,5.56,M000, The craziest thing just happened to me.,excited
Ses01M_impro03_,5.02,6.85,F000, What?,xxxx
Ses01M_impro03_,6.31,11.57,M001, This girl; she just offered me fifty thousand dollars to marry her.,excited
Ses01M_impro03_,10.79,12.08,F001, [BREATHING],surprised
Ses01M_impro03_,11.7,12.98,M002, Yeah.,xxxx
Ses01M_impro03_,12.37,13.7468,F002, Why?,excited
Ses01M_impro03_,13.26,16.87,M003," Well, she's not a citizen so she wants to get a visa.",neutral
Ses01M_impro03_,16.19,17.7425,F003, Is she on the run?,excited
Ses01M_impro03_,17.28,26.54,M004," No, no, no, no, no, no she just... she's not a citizen but she wants her visa, yeah. She's going to pay me fifty thousand dollars to marry her and stay married to her for two years.",excited
Ses01M_impro03_,19.6,22.1975,F004," Oh, she just needs to marry you.",excited
Ses01M_impro03_,26,33.21,F005, That's incredible. That's awesome. Where's she from?  Maybe you can get a dual citizenship.,excited
Ses01M_impro03_,26.6,30.79,M005, That's like twenty five thousand dollar a year for doing nothing. Isn't that awesome?,excited
Ses01M_impro03_,32.05,39.5125,M006," She's actually from England, I think.  Well she- she spoke English but she had an accent. I didn't even ask.",neutral
Ses01M_impro03_,35.5,39.235,F006, That's so cool. Uh huh.,excited
Ses01M_impro03_,39.45,43.78,F007, [LAUGHTER] Why did she pick you? Where were you?,excited
Ses01M_impro03_,39.5775,47.66,M007," Fifty thousand dollars. Fifty thousand dollars. I was just out... I just... she's - well, she's a friend of friend but like...",excited
Ses01M_impro03_,47.32,54.52,F008, You were at a party? And she's like hey. You seem unattached she's like.,excited
Ses01M_impro03_,48.08,63.1475,M008," Yeah.  Can you believe that? Yeah, she's like hey, I'm like surprisede I'll do it, I don't care. Yeah. I'm like fifty thousand dollars, I'd totally do it for fifty thousand dollars. But the only thing is that's kind of like illegal. So like I could go to jail probably for a long if I get caught, but...",excited
Ses01M_impro03_,55.9325,59.71,F009, That's unbelievable... Yeah.,excited
Ses01M_impro03_,61.1325,72.19,F010, Well I've known people who have done this before. Yeah.  You just- it's really fun actually 'cause you have like a fake engagement party and all your friends come over and like...,excited
Ses01M_impro03_,63.635,64.95,M009, Have you?,xxxx
Ses01M_impro03_,70.95,73.63,M010, It's like I'm really going to get married. We'll have like the whole thing.,excited
Ses01M_impro03_,73.67,75.96,M011," Oh, good. [LAUGHTER]",excited
Ses01M_impro03_,72.4875,80.9,F011," Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",excited
Ses01M_impro03_,80.76,82.48,M012, I know. What do you think I should-,excited
Ses01M_impro03_,80.93,88.45,F012," Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",excited
Ses01M_impro03_,84.5075,86.66,M013, Oh good idea.,excited
Ses01M_impro03_,87.42,90.96,M014, Yeah.  Make her like open the bank account and stuff too.,neutral
Ses01M_impro03_,90.11,91.84,F013, Yeah.,excited
Ses01M_impro03_,91.37,93.47,M015, It's a good idea.,excited
Ses01M_impro03_,92.87,96.13,F014," Dude, you lucked out.",excited
Ses01M_impro03_,94.77,98.7,M016, I know.  Also I get to like plan the wedding now too. That will be fun.,excited
Ses01M_impro03_,97.35,103.9875,F015," Yeah.  My colors are blush and beige what is it, do you know?",excited
Ses01M_impro03_,103.1,114.43,M017," Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",excited
Ses01M_impro03_,104.6375,109.06,F016, Oh I don't know. [LAUGHTER],excited
Ses01M_impro03_,113.79,116.7,F017, I don't know get it in cash.,neutral
Ses01M_impro03_,115.84,117.89,M018, Just cash hardcore.,neutral
Ses01M_impro03_,117.21,118.47,F018, Yeah.,neutral
Ses01M_impro03_,117.98,121.76,M019, What should we do?  Where should we get married? We should have party.,excited
Ses01M_impro03_,120.03,123.64,F019, How excitediting. You should have a wedding on the beach.,excited
