file_name,turn_name,start_time,end_time,text,emotion
Ses01F_impro01,F000,6.2901,8.2357,Excuse me,"polite,attitude"
Ses01F_impro01,M000,7.5712,10.475,Do you have your forms?,"Frustration,Neutral"
Ses01F_impro01,F001,10.01,11.3925,Yeah,"guarded, tense"
Ses01F_impro01,M001,10.9266,14.6649,Let me see them.,bored
Ses01F_impro01,F002,14.8872,18.0175,Is there a problem,superior
Ses01F_impro01,M002,16.8352,19.7175,Who told you to get in this line?,"attitude, rude, accusing, annoyed, irritated"
Ses01F_impro01,F003,19.29,20.7875,You did,accusing
Ses01F_impro01,F004,21.3257,24.74,You were standing at the beginning and you directed me,defensive
Ses01F_impro01,M003,23.47,28.03,Okay. But I didn't tell you to get in this line if you are filling out this particular form,"accusing, angry, superior"
Ses01F_impro01,F005,27.46,31.49,Well what's the problem?  Let me change it,Frustration
Ses01F_impro01,M004,28.395,31.2117,This form is a Z.X.four.,Frustration; Anger
Ses01F_impro01,M005,31.266,39.3875,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Frustration; Disgust; Anger
Ses01F_impro01,F006,38.965,43.59,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen,irritation
Ses01F_impro01,M006,41.23,46.98,No. I need another set of ID to prove this is actually you,"condescending, frustrated, impatient"
Ses01F_impro01,F007,46.58,52.19,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Anger
Ses01F_impro01,M007,51.4,57.64,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,"defensive, arrogant"
Ses01F_impro01,F008,56.16,58.8225,I'm here to get an ID,angry
Ses01F_impro01,M008,58.18,62.59,"No.  I need another ID, a separate one","condescending, impatient, frustrated"
Ses01F_impro01,F009,61.87,65.97,Like what?  Like a birth certificate?,Surprise
Ses01F_impro01,M009,65.51,73,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?","accusing, provoking, belligerent, skeptical"
Ses01F_impro01,F010,66.42,69.34,Who the hell has a birth certificate?,"angry, frustrated"
Ses01F_impro01,F011,72.45,82.26,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Surprise; Anger
Ses01F_impro01,M010,81.59,86.03,"Yeah.  We keep it on file, but we need an ID to access that file.","angry, frustrated, impatient"
Ses01F_impro01,F012,85.27,88.02,That's out of control,Frustration; Anger
Ses01F_impro01,M011,87.15,94.39,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,"frustrated, angry, irritated"
Ses01F_impro01,F013,93.67,97.0218,How long have you been working here?,Frustration
Ses01F_impro01,M012,95.86,98.68,Actually too long,calm
Ses01F_impro01,F014,97.89,102.96,"Clearly.  You know, do you have like a supervisor or something?",Neutral
Ses01F_impro01,M013,101.84,107.87,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,"offended, outraged, frustrated,"
Ses01F_impro01,F015,103.97,106.71,That would - I would appreciate that.  Yeah.,"Frustration,tensed"
Ses01F_impro02,F000,7.2688,16.6,Did you get the mail? So you saw my letter?,Sadness
Ses01F_impro02,M000,17.6,20.6264,It's not fair,Frustration; Sadness
Ses01F_impro02,F001,19.85,22.78,Yeah.  I know,Sadness
Ses01F_impro02,M001,21.76,27.5558,"I don't understand.  You've already done so much, I don't know why do you have to go back.",Sadness
Ses01F_impro02,F002,26.5659,32.2895,I don't know.  I put in that. request too. They didn't...,Sadness
Ses01F_impro02,F003,32.3075,37.96,"I guess, you know, everybody has to make sacrifices.",Neutral
Ses01F_impro02,M002,38.85,45.09,"I don't know, it's just not fair.  I think you've already made your sacrifice.",Frustration; Sadness
Ses01F_impro02,F004,47.34,53.11,"There's people that have given more though, you know?",Neutral
Ses01F_impro02,M003,52.71,59.0534,I just don't see how they can make you leave when you have a new baby - we have a new kid.,Frustration
Ses01F_impro02,F005,58.75,61.31,I know,Neutral
Ses01F_impro02,M004,61.75,65.055,Then why is that fair?  Why,Frustration; Sadness
Ses01F_impro02,F006,64.255,68.47,"There's babies over there, though, that need mothers.",Neutral
Ses01F_impro02,M005,69.34,74.29,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it,Sadness
Ses01F_impro02,F007,72.39,78.57,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",Frustration; Sadness;
Ses01F_impro02,M006,80.03,86.99,I'm just trying to think of another way.  I'm just trying to..,Frustration; Sadness
Ses01F_impro02,F008,87.2031,91.09,"Just, you know, kicking myself.",Frustration; Sadness; Anger
Ses01F_impro02,F009,91.55,95.88,like you sign up because you need money and,Other
Ses01F_impro02,F010,97.94,102.19,things just aren't what they seem.,Sadness
Ses01F_impro02,M007,103.27,107.1,This is a stupid war,Frustration; Disgust; Anger
Ses01F_impro02,F011,107,111.0153,"We're doing the right thing, though",tense
Ses01F_impro02,M008,110.5653,113.2,I know.,Frustration
Ses01F_impro02,M009,114.1775,117.85,I just don't see why it has to be you,Sadness
Ses01F_impro02,F012,117.83,120.8605,"If not me then, who?",Sadness
Ses01F_impro02,M010,120.4105,124.63,What am I going to do? Huh?,Sadness
Ses01F_impro02,F013,127.82,133.9455,"You'll videotape everything, yeah?",Sadness
Ses01F_impro02,M011,133.88,137.1,Yeah,Sadness
Ses01F_impro02,F014,139.03,146.43,"Maybe you can send it to me, like stream it, yeah?",Sadness
Ses01F_impro02,M012,147.03,151.7101,Don't you guys have access to computers over there.,Neutral
Ses01F_impro02,F015,151.4221,155.01,Last month--  Yeah.,Sadness
Ses01F_impro02,M013,157.98,162.71,I just don't know how I'm going to do it without you.,Sadness; Fear
Ses01F_impro02,F016,163.54,165.73,I have to find sitters.,Neutral
Ses01F_impro02,M014,164.885,169.5,I can't raise a baby by myself.  How?,Sadness
Ses01F_impro02,F017,169.36,176.015,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Sadness
Ses01F_impro02,M015,175.47,176.72,I know.,Neutral
Ses01F_impro02,F018,176.08,179.13,And your mother is close by.,Neutral
Ses01F_impro02,F019,182.83,185.8894,I'll send you lots of letters.,Sadness
